idx,arquivo,ref_idx,mse_gray_ref,ssim_gray_ref,ssim_color_ref,mse_gray_prev,ssim_gray_prev,lap_var
212,frame_000313.jpg,18,0.1274919956922531,0.14638580500484796,0.1371486485004425,0.0036258448380976915,0.7517058419952929,214.97988442969861
213,frame_000314.jpg,18,0.1268654614686966,0.13801913720079895,0.12733425199985504,0.001120078843086958,0.9138617240793967,208.9063584312826
214,frame_000315.jpg,18,0.12831208109855652,0.13277647104595466,0.12100651115179062,0.003920846618711948,0.7948684369880403,200.2495992065945
215,frame_000316.jpg,18,0.12578541040420532,0.13383199545877023,0.12544004619121552,0.011183850467205048,0.6172835237542945,248.89636487745864
216,frame_000318.jpg,18,0.14217045903205872,0.12517103931454138,0.11523488909006119,0.013752326369285583,0.6348933981399858,320.720486109937
217,frame_000319.jpg,18,0.13559232652187347,0.13483393807122648,0.12308645993471146,0.013322994112968445,0.6429387607256272,310.93572673093627
218,frame_000320.jpg,18,0.14463230967521667,0.15389066756803316,0.14679129421710968,0.04870538040995598,0.42754893789827747,389.0057646445866
219,frame_000321.jpg,18,0.13285307586193085,0.11830611296197485,0.10963017493486404,0.05817323178052902,0.37578283038934757,405.064464067886
220,frame_000322.jpg,18,0.13239416480064392,0.12143335209483248,0.11228198558092117,0.006188064813613892,0.7896624681392885,355.7498691742492
221,frame_000323.jpg,18,0.12964516878128052,0.1377771710489638,0.12630020081996918,0.008068965747952461,0.7378691245156065,335.1395878635467
222,frame_000324.jpg,18,0.14475297927856445,0.15860048585108777,0.14926715195178986,0.03968586027622223,0.39191585575932886,360.35821288540996
223,frame_000325.jpg,18,0.1310579776763916,0.11409536807933006,0.10345697402954102,0.041498661041259766,0.36751265031925656,347.30324109249204
224,frame_000326.jpg,18,0.13215254247188568,0.11282924843853792,0.1018776074051857,0.0014196546981111169,0.8920246000213884,337.778736740596
225,frame_000328.jpg,18,0.13365225493907928,0.1386920625611853,0.13011176884174347,0.010484604164958,0.5663947359997663,303.2520064150371
226,frame_000329.jpg,18,0.12914083898067474,0.14287448398001298,0.13203050196170807,0.009026591666042805,0.6504719522251675,270.47786042089655
227,frame_000330.jpg,18,0.13571622967720032,0.1286375647426667,0.12148672342300415,0.014433321543037891,0.49906525732065193,328.7903324246892
228,frame_000331.jpg,18,0.13548801839351654,0.13073769834487164,0.1206759586930275,0.008331782184541225,0.6932292955790552,346.9475479027684
229,frame_000332.jpg,18,0.13395799696445465,0.1283166653337649,0.11932886391878128,0.011974694207310677,0.5182756060432047,294.57492677181375
230,frame_000333.jpg,18,0.13166847825050354,0.15753469583363072,0.14865213632583618,0.004512540064752102,0.7339827110235685,316.7593046729926
